Entity,Code,Year,crude_death_rate_per_100k_male
Albania,ALB,1987,23.61
Albania,ALB,1988,25.62
Albania,ALB,1989,22.4
Albania,ALB,1992,20.83
Albania,ALB,1993,20.05
Albania,ALB,1994,17.59
Albania,ALB,1995,27.24
Albania,ALB,1996,29.31
Albania,ALB,1997,30.88
Albania,ALB,1998,29.76
Albania,ALB,1999,29.6
Albania,ALB,2000,30.15
Albania,ALB,2001,26.85
Albania,ALB,2002,29.85
Albania,ALB,2003,32.78
Albania,ALB,2004,29.77
Albania,ALB,2005,29.21
Albania,ALB,2006,29.78
Albania,ALB,2007,28.31
Albania,ALB,2008,33.95
Albania,ALB,2009,32.8
Albania,ALB,2010,23.46
Antigua and Barbuda,ATG,1961,7.66
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,10.53
Antigua and Barbuda,ATG,1964,3.57
Antigua and Barbuda,ATG,1966,3.57
Antigua and Barbuda,ATG,1969,6.8
Antigua and Barbuda,ATG,1970,9.79
Antigua and Barbuda,ATG,1971,19.51
Antigua and Barbuda,ATG,1972,13.04
Antigua and Barbuda,ATG,1973,3.28
Antigua and Barbuda,ATG,1974,3.31
Antigua and Barbuda,ATG,1975,6.66
Antigua and Barbuda,ATG,1976,0
Antigua and Barbuda,ATG,1977,0
Antigua and Barbuda,ATG,1978,3.36
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,3.35
Antigua and Barbuda,ATG,1986,10.05
Antigua and Barbuda,ATG,1987,6.69
Antigua and Barbuda,ATG,1988,13.36
Antigua and Barbuda,ATG,1989,6.65
Antigua and Barbuda,ATG,1990,23.09
Antigua and Barbuda,ATG,1991,3.26
Antigua and Barbuda,ATG,1992,19.28
Antigua and Barbuda,ATG,1993,3.16
Antigua and Barbuda,ATG,1994,9.31
Antigua and Barbuda,ATG,1995,15.25
Antigua and Barbuda,ATG,1998,5.79
Antigua and Barbuda,ATG,1999,14.23
Antigua and Barbuda,ATG,2000,5.6
Antigua and Barbuda,ATG,2001,2.76
Antigua and Barbuda,ATG,2002,0
Antigua and Barbuda,ATG,2003,10.69
Antigua and Barbuda,ATG,2004,2.63
Antigua and Barbuda,ATG,2005,7.77
Antigua and Barbuda,ATG,2006,7.63
